text,topic,summary
"

	'Brave fellows! Brave fellows!'

	These words of praise were for the police, the gendarmes, the soldiers, all those who protected his life and had prevented the assassination. But in vain did he stir about, lavish his praise, and smile at the discomfiture of the terrorists; he could not yet believe that he was saved. It seemed to him that the death evoked for him by the anarchists, and which existed in their thought, was already there and would remain there, refusing to go away until the assassins should be seized, deprived of their bombs, and lodged safely in prison. There it stood, in the corner yonder, declining to leave, and unable to leave, like an obedient soldier placed on guard by an unknown will.",the seven that were hanged_segment_5.txt," Police, gendarmes, soldiers, all those who protected his life and had prevented the assassination . But in vain did he stir about, lavish his praise, and smile at the discomfiture of the terrorists; he could"
"

	But the Cock was not to be so easily fooled. He soon roused the whole hen yard, and when the Farmer came running out, that was the end of Mr. Fox.

	The wicked deserve no aid.

	               Add  The Cock And The Fox (2nd Fable) to your library.     ",the cock and the fox 2nd fable_segment_2.txt," The Cock roused the whole hen yard, and when the Farmer came running out, that was the end of Mr. Fox . The wicked deserve no aid ."
"

	Suddenly a brutal, bewildering change had taken place. Vasily no longer went where he wanted to go, but was led where others wanted him to go. He no longer chose his place; they placed him in a stone cage and locked him in, as if he were a thing. He could no longer choose between life and death; they led him to death, certainly and inevitably. He who had been for a moment the incarnation of will, of life, and of force, had become a lamentable specimen of impotence; he was nothing but an animal destined for the slaughter. Whatever he might say, they would not listen; if he started to cry out, they would stuff a rag in his mouth; and, if he even tried to walk, they would take him away and hang him. If he resisted, if he struggled, if he lay down on the ground, they would be stronger than he; they would pick him up, they would tie him, and thus they would carry him to the gallows. And his imagination gave to the men charged with this execution, men like himself, the new, extraordinary, and terrifying aspect of unthinking automata, whom nothing in the world could stop, and who seized a man, overpowered him, hanged him, pulled him by the feet, cut the rope, put the body in a coffin, carried it away, and buried it.",the seven that were hanged_segment_183.txt," Vasily no longer went where he wanted to go, but was led where others wanted him to go . He no longer chose his place; they placed him in a stone cage and locked him in, as if he were a thing ."
"

	

	SECOND STORY. A Little Boy and a Little Girl

	In a large town, where there are so many houses, and so many people, that there is no roof left for everybody to have a little garden; and where, on this account, most persons are obliged to content themselves with flowers in pots; there lived two little children, who had a garden somewhat larger than a flower-pot. They were not brother and sister; but they cared for each other as much as if they were. Their parents lived exactly opposite. They inhabited two garrets; and where the roof of the one house joined that of the other, and the gutter ran along the extreme end of it, there was to each house a small window: one needed only to step over the gutter to get from one window to the other.",the snow queen_segment_3.txt, A Little Boy and a Little Girl were not brother and sister; but they cared for each other as much as if they were . Their parents lived exactly opposite .
"

	'Well,' said he, 'I have kept watch; and this evening I went among the rushes where I thought the marshy ground would bear me, and while I was there three swans came. Something in their manner of flying seemed to say to me, 'Look carefully now; there is one not all swan, only swan's feathers.' You know, mother, you have the same intuitive feeling that I have; you know whether a thing is right or not immediately.'

	'Yes, of course,' said she; 'but tell me about the princess; I am tired of hearing about the swan's feathers.'",the marsh kings daughter_segment_7.txt," Something in their manner of flying seemed to say to me, 'Look carefully now; there is one not all swan, only swan's feathers' 'You know, mother, you have the same intuitive feeling that I have,'"
"

	He heard many more fine things about himself, and that the next day he was to be married. After this he went back to the forest to rest himself in his trunk. It had disappeared! A spark from the fireworks which remained had set it on fire; it was burnt to ashes! So the merchant's son could not fly any more, nor go to meet his bride. She stood all day on the roof waiting for him, and most likely she is waiting there still; while he wanders through the world telling fairy tales, but none of them so amusing as the one he related about the matches.",the flying trunk_segment_24.txt," A spark from the fireworks which remained had set it on fire; it was burnt to ashes! So the merchant's son could not fly any more, nor go to meet his bride . She stood all day on the roof waiting for him"
"

	âDo you know that I am your uncle by adoption and not blood, Sybil?â

	âYes, sir; I heard so, but forgot about it,â and I looked up at him, my anger quite lost in astonishment.",a whisper in the dark_segment_99.txt," Sybil's uncle is your uncle by adoption and not blood, Sybil says . Sybil looks up at him, my anger quite lost in astonishment . She says, ""Yes, sir; I heard so, but forgot about"
"

	When Eliza saw all these things which lay so near her heart, a smile played around her mouth, and the crimson blood rushed to her cheeks. She thought of her brothers, and their release made her so joyful that she kissed the king's hand. Then he pressed her to his heart. Very soon the joyous church bells announced the marriage feast, and that the beautiful dumb girl out of the wood was to be made the queen of the country. Then the archbishop whispered wicked words in the king's ear, but they did not sink into his heart. The marriage was still to take place, and the archbishop himself had to place the crown on the bride's head; in his wicked spite, he pressed the narrow circlet so tightly on her forehead that it caused her pain. But a heavier weight encircled her heart- sorrow for her brothers. She felt not bodily pain. Her mouth was closed; a single word would cost the lives of her brothers. But she loved the kind, handsome king, who did everything to make her happy more and more each day; she loved him with all her heart, and her eyes beamed with the love she dared not speak. Oh! if she had only been able to confide in him and tell him of her grief. But dumb she must remain till her task was finished. Therefore at night she crept away into her little chamber, which had been decked out to look like the cave, and quickly wove one coat after another. But when she began the seventh she found she had no more flax. She knew that the nettles she wanted to use grew in the churchyard, and that she must pluck them herself. How should she get out there? 'Oh, what is the pain in my fingers to the torment which my heart endures?' said she. 'I must venture, I shall not be denied help from heaven.' Then with a trembling heart, as if she were about to perform a wicked deed, she crept into the garden in the broad moonlight, and passed through the narrow walks and the deserted streets, till she reached the churchyard. Then she saw on one of the broad tombstones a group of ghouls. These hideous creatures took off their rags, as if they intended to bathe, and then clawing open the fresh graves with their long, skinny fingers, pulled out the dead bodies and ate the flesh! Eliza had to pass close by them, and they fixed their wicked glances upon her, but she prayed silently, gathered the burning nettles, and carried them home with her to the castle. One person only had seen her, and that was the archbishop- he was awake while everybody was asleep. Now he thought his opinion was evidently correct. All was not right with the queen. She was a witch, and had bewitched the king and all the people. Secretly he told the king what he had seen and what he feared, and as the hard words came from his tongue, the carved images of the saints shook their heads as if they would say. 'It is not so. Eliza is innocent.'",the wild swans_segment_14.txt," Eliza thought of her brothers, and their release made her so joyful that she kissed the king's hand . But a heavier weight encircled her heart- sorrow for her brothers . She felt not bodily pain. Her mouth was closed"
"There was once a merchant who was so rich that he could have paved the whole street with gold, and would even then have had enough for a small alley. But he did not do so; he knew the value of money better than to use it in this way. So clever was he, that every shilling he put out brought him a crown; and so he continued till he died. His son inherited his wealth, and he lived a merry life with it; he went to a masquerade every night, made kites out of five pound notes, and threw pieces of gold into the sea instead of stones, making ducks and drakes of them. In this manner he soon lost all his money. At last he had nothing left but a pair of slippers, an old dressing-gown, and four shillings. And now all his friends deserted him, they could not walk with him in the streets; but one of them, who was very good-natured, sent him an old trunk with this message, 'Pack up!' 'Yes,' he said, 'it is all very well to say 'pack up,'' but he had nothing left to pack up, therefore he seated himself in the trunk. It was a very wonderful trunk; no sooner did any one press on the lock than the trunk could fly. He shut the lid and pressed the lock, when away flew the trunk up the chimney with the merchant's son in it, right up into the clouds. Whenever the bottom of the trunk cracked, he was in a great fright, for if the trunk fell to pieces he would have made a tremendous somerset over the trees. However, he got safely in his trunk to the land of Turkey. He hid the trunk in the wood under some dry leaves, and then went into the town: he could so this very well, for the Turks always go about dressed in dressing-gowns and slippers, as he was himself. He happened to meet a nurse with a little child. 'I say, you Turkish nurse,' cried he, 'what castle is that near the town, with the windows placed so high?'",the flying trunk_segment_0.txt," A merchant who was so rich that he could have paved the whole street with gold would have had enough for a small alley . But he knew the value of money better than to use it in this way . His son inherited his wealth,"
"

	'How grand!' said the Cock. 'I certainly am delighted at the news.' But he spoke in an absent way, and stretching up on tiptoes, seemed to be looking at something afar off.",the cock and the fox_segment_2.txt," 'I certainly am delighted at the news,' said Cock the Cock . But he spoke in an absent way, and stretching up on tiptoes, seemed to be looking at something afar off ."
"

	Ben-Tovit was a good and kind man, who hated any injustice, but when his wife awoke he said many unpleasant things to her, opening his mouth with difficulty, and he complained that he was left alone, like a jackal, to groan and writhe for pain. His wife met the undeserved reproaches patiently, for she knew that they came not from an angry heart--and she brought him numerous good remedies: rats' litter to be applied to his cheek, some strong liquid in which a scorpion was preserved, and a real chip of the tablets that Moses had broken. He began to feel a little better from the rats' litter, but not for long, also from the liquid and the stone, but the pain returned each time with renewed intensity.",on the day of the crucifixion_segment_3.txt," Ben-Tovit was a good and kind man, who hated any injustice, but when his wife awoke he said many unpleasant things to her, opening his mouth with difficulty, and he complained that he was left alone, like a"
"

	Fred's Cousin came from St. Paul on a Visit; and one Day, in the Street, he saw Myrtle, and noticed that Fred tipped his Hat, and gave her a Stage Smile.

	'Oh, Queen of Sheba!' exclaimed the Cousin from St. Paul, whose name was Gus, as he stood stock still and watched Myrtle's Reversible Plaid disappear around a Corner. 'She's a Bird. Do you know her well?'",the fable of the two mandolin players and his willing performer_segment_3.txt," Fred's Cousin came from St. Paul on a Visit; and one Day, in the Street, he saw Myrtle, and noticed that Fred tipped his Hat, and gave her a Stage Smile ."
"

	'And what in the moon?' asked Amy.

	'The moon is cold and calm, not warm and brilliant like the sun, which tells us of God's love. Like truths learned, but not made warm and bright by love, it shows us the way in times of darkness. But you are too young to understand much about this. Only keep in your memory that every good and beautiful thing you see, being made by God, reflects something of his nature and quality to your soul and that this is why the lovely, the grand, the beautiful, the pure, and sweet things of nature fill your heart with peace or delight when you gaze at them.'

	For a little while after this they sat looking out of the window, both feeling very peaceful in the presence of God and his works. Then voice was heard below, and Amy, starting up, exclaimed,--",amys question_segment_10.txt," The moon is cold and calm, not warm and brilliant like the sun, which tells us of God's love . But you are too young to understand much about this, says Amy ."
"

	At this declaration of independence my uncleâs face darkened ominously, some new suspicion lurked in his eye, some new anxiety beset him; but his manner was calm, his voice blander than ever as he asked,â

	âIs there then, some one whom you love? Confide in me, my girl.â

	âAnd if there were, what then?â",a whisper in the dark_segment_96.txt," At this declaration of independence my uncle’s face darkened ominously, some new suspicion lurked in his eye . But his manner was calm, his voice blander than ever as he asked,âIs there"
"

	'Sashka! the Svetchnikovs have invited you to the Christmas tree. The housemaid came,' he whispered.

	'Get along with you!' said Sashka with incredulity.

	'Fact! The old woman there has purposely not told you, but she has mended your jacket all the same.'

	'Nonâsense,' Sashka replied, still more surprised.

	The Svetchnikovs were rich people, who had put him to the grammar school, and after his expulsion had forbidden him their house.",the little angel_segment_5.txt," The Svetchnikovs were rich people, who had put him to the grammar school, and after his expulsion had forbidden him their house ."
"

	When at last Mrs. Morris found courage to call Johnny away, he went without a word, and lay down in the dingy room, his face still shining with the happy thoughts that filled his mind, hungry for just such pleasures, and never fed before.",a hole in the wall_segment_111.txt," When at last Mrs. Morris found courage to call Johnny away, he went without a word, and lay down in the dingy room ."
"

	A large ordnance-map of ITorfolk (which had been captured from a German officer) was produced, and the young man studied it closely.

	At three o'clock precisely old Sam, finding himself something of a hero and quite glad to escape from the embarrassment which this position entailed, once more sped skywards in an ' airyplane.'",a source of irritation_segment_64.txt," A large ordnance-map of ITorfolk (which had been captured from a German officer) was produced, and the young man studied it closely . At three o'clock precisely old Sam, finding himself something of a hero and"
"

	There was peace with the Suni Pathans who squatted on the upland pastures and so he had left his rifle at home, carrying only a broad-bladed dagger. He was glad of it, for a rifle meant weight, weight in the hills meant lack of speed, and speed was essential. All last night his wife had moaned terribly, and the village wise-woman, at the end of her remedies, had told him that he needed the English hakim's skill before the day was out if he wanted his wife to live: his wife, and the little sonâhe hoped it would be a sonâwhom she was bringing into the world with such anguish.",the dance on the hill_segment_3.txt," There was peace with the Suni Pathans who squatted on the upland pastures and so he had left his rifle at home, carrying only a broad-bladed dagger . He was glad of it, for a rifle meant"
"

	When the mother began to weep, Vasily again saw something human in her, but this disappeared with the first words that she uttered. With curiosity and terror he watched the tears flow from the doll's eyes.",the seven that were hanged_segment_188.txt," When the mother began to weep, Vasily again saw something human in her, but this disappeared with the first words that she uttered . With curiosity and terror he watched the tears flow from the doll's eyes ."
"

	'Well, well, then, we will talk about the other matter. I will not pretend to disguise the fact that your mother is distressed at the idea of parting from you, and thinks it would be as sad for your brothers and sisters, whom she says you influence for their good. Do you think that you do?'",the bell in the fog_segment_82.txt," 'Your mother is distressed at the idea of parting from you, and thinks it would be as sad for your brothers and sisters, whom she says you influence for their good. Do you think that you do?'"
"

	Betty lived in this queer way a long time, and soon looked more like a pig than a little girl; for her nightgown got dirty, her hair was never combed, her face was never washed, and she loved to dig in the mud till her hands looked like paws. She never talked, but began to grunt as the pigs did, and burrowed into the straw to sleep, and squealed when they crowded her, and quarrelled over the food, eating with her nose in the trough like a real pig. At first she used to play about at night, and steal things to eat; and people set traps to catch the thief in their gardens, and the cook in her own house scolded about the rats that carried off the cake and pies out of her pantry. But by and by she got too lazy and fat to care for anything but sleeping and eating, and never left the sty. She went on her hands and knees now, and began to wonder if a little tail wouldn't grow and her nose change to a snout.",the piggy girl_segment_5.txt," Betty lived in this queer way a long time, and soon looked more like a pig than a little girl . Her nightgown got dirty, her hair was never combed, her face was never washed, and she loved to dig"
"

	Lazarus came to a youth and his lass who loved each other and were beautiful in their love. Proudly and strongly holding in his arms his beloved one, the youth said, with gentle pity: 'Look at us, Lazarus, and rejoice with us. Is there anything stronger than love?'",lazarus_segment_52.txt," Lazarus came to a youth and his lass who loved each other and were beautiful in their love . The youth said: 'Look at us, Lazarus, and rejoice with us. Is there anything stronger than love?'"
"

	'He does not know anything. Is it possible that he does not know anything? He does not even suspect? Listen, does he shake everybody's hand so firmly?'

	Mamma said:

	'What a question! Of course he does! That is--no, not everybody.'

	Yura Mikhailovich said:",the crushed flower_segment_42.txt," 'Is it possible that he does not know anything? He does not even suspect? Listen, does he shake everybody's hand so firmly?' Mamma said: 'Of course he does!'"
"

	'Let me go. I must go.'

	'Remember,' said father, referring to something Yura did not understand but which resounded in his heart with a light, gnawing alarm.",the crushed flower_segment_29.txt," 'Remember,' said father, referring to something Yura did not understand but which resounded in his heart with a light, gnawing alarm . 'Let me go. I must go,' he said ."
"

	'Sure?' said the man, looking interested as well as amused.

	'No, but I think so.'

	'What's he like?'

	Tommy described him, and was much disappointed when the man lay down again, saying, with another laugh,--

	'It's a woodchuck; he's no good.'

	'But I want the skin.'

	'Then don't shoot him, let him die; that's better for the skin,' said the man, who was tired and didn't want to stop for such poor game.",how they ran away_segment_32.txt," 'It's a woodchuck; he's no good,' said Tommy . 'But I want the skin,' said the man . 'Then don't shoot him, let him die; that's better for the skin'"
"

	'That's all, Ma'am. I've never seen her since, an' now I never shall in this world,--maybe not in t'other.'",the brothers_segment_49.txt," I've never seen her since, an' now I never shall in this world,--maybe not in t'other.'"
"

	'We have travelled far, Babouscka,' they said, 'and we stop to tell you of the Baby Prince born this night in Bethlehem. He comes to rule the world and teach all men to be loving and true. We carry Him gifts. Come with us, Babouscka.'",the legend of babouscka_segment_2.txt," 'We have travelled far, Babouscka,' they said, 'and we stop to tell you of the Baby Prince born this night in Bethlehem' 'He comes to rule the world and teach all men to be loving and true"
"

	At nightfall the Cock, looking for a place to roost, as was his custom, spied nearby a hollow tree that he thought would do very nicely for a night's lodging. The Dog could creep inside and the Cock would fly up on one of the branches. So said, so done, and both slept very comfortably.",the dog the cock and the fox_segment_1.txt," The Cock, looking for a place to roost, spied nearby a hollow tree that he thought would do very nicely for a night's lodging . The Dog could creep inside and the Cock would fly up on one of the branches ."
"The page you requested could not be found. Please return to the home page or use the menu system at the top of this page to locate the content that you are looking for.  The offending URL has been recorded and will be reviewed for corrective action.  Sorry for the inconvenience.

	The offending URL has been recorded and will be reviewed for corrective action.  Sorry for the inconvenience.

	Sorry for the inconvenience.",the vain jackdaw_segment_0.txt, The page you requested could not be found. Please return to the home page or use the menu system at the top of this page to locate the content that you are looking for. The offending URL has been recorded and will be reviewed for
"

	'Yes, yes,' replied the Monkey. 'Indeed, I do. I am with him constantly. Piraeus is my very best friend.'

	This answer took the Dolphin by surprise, and, turning his head, he now saw what it was he was carrying. Without more ado, he dived and left the foolish Monkey to take care of himself, while he swam off in search of some human being to save.",the monkey and the dolphin_segment_3.txt, The Monkey said: 'I am with him constantly. Piraeus is my very best friend' The Dolphin dived and left the foolish Monkey to take care of himself .
"

	'Squeak! squeak!' said a little Mouse at the same moment, peeping out of his hole. And then another little one came. They sniffed about the Fir-tree, and rustled among the branches.",the fir tree_segment_27.txt," 'Squeak! squeak!' said a little Mouse at the same moment, peeping out of his hole . And then another little one came . They sniffed about the Fir-tree, and rustled among the branches ."
"

	'Housekeepin' used to be the favorite perfessun in my day. It ain't fashionable now, but it needs a sight of trainin' to be perfect in all that's required, and I've an idee it would be a sight healthier and usefuller than the paintin' and music and fancy work young women do nowadays.'",a country christmas_segment_40.txt," 'Housekeepinin' used to be the favorite perfessun in my day. It ain't fashionable now, but it needs a sight of trainin'"
"A SOLDIER came marching along the high road: Left, right, left, right. He had his knapsack on his back, and a sword at his side; he had been to the wars, and was now returning home.",the tinder box_segment_0.txt," A soldier had his knapsack on his back, and a sword at his side . He had been to the wars, and was now returning home ."
"

	'Will they kill you?' he whispered right into my ear.

	'No, I will come back.'

	But why did he not cry? He had cried sometimes when I had simply left the house for a while: Is it possible that IT had reached him, too? Who knows? So many strange things happened during the great days.",a story which will never be finished_segment_24.txt," He had cried sometimes when I had simply left the house for a while: Is it possible that IT had reached him, too? 'Will they kill you?' he whispered right into my ear. 'No, I will come back,'"
"

	'Yes!' said Musya. 'Yes, Werner!'

	'Yes!' he answered. 'Yes, Musya, yes!'

	ÂThey had understood something and ratified it forever. With sparkling eyes and quick steps, Werner moved on again in the direction of Sergey.

	'Sergey!'

	But it was Tonya Kovalchuk that answered. Full of joy, almost weeping with maternal pride, she pulled Sergey violently by the sleeve.",the seven that were hanged_segment_223.txt," Werner moved on again in the direction of Sergey . Tonya Kovalchuk pulled Sergey violently by the sleeve . 'Yes, Werner!' said Musya. 'Yes!' he answered ."
"

	'She has said that I must be hanged.'

	''She'? Who?' asked the presiding judge, in a deep bass voice.

	Yanson pointed at the presiding judge with his finger, and, looking at him furtively, answered angrily:

	'You!'

	'Well?'

	Again Yanson turned his eyes toward one of the judges, in whom he divined a friend, and repeated:

	'She has said that I must be hanged. I must not be hanged.'

	'Take away the accused.'

	But Yanson still had time to repeat, in a grave tone of conviction:",the seven that were hanged_segment_47.txt," Yanson pointed at the presiding judge with his finger, and, looking at him furtively, answered angrily: 'She has said that I must be hanged' The presiding judge, in a deep bass voice, asked the judge:"
"

	âYou must not speak to me,â said the garter; âI do not think I have given you any encouragement to do so.â

	âOh, when any one is as beautiful as you are,â said the shirt-collar, âis not that encouragement enough?â",the shirt collar_segment_3.txt," You must not speak to me, said the garter; . âI do not think I have given you any encouragement to do so.â�™ said the shirt-collar ."
"

	But in time he got up, bathed, dressed. He even paid his customary visit to the barber. Then he turned his steps toward M. Cesar.

	Madame Dupont had gone to Santa Barbara to recuperate after the severe shock to her nerves. M. Cesar, unless dining out, would be at his club. It was eight o'clock.",the sacrificial alter_segment_75.txt," M. Cesar, unless dining out, would be at his club . Dupont had gone to Santa Barbara to recuperate after the severe shock to her nerves ."
"

	Little Anthony kept the flower-pot, and every morning during the whole winter he looked at it, but there was nothing to be seen but black earth. At last, however, the spring came, and the sun shone warm again, and then two little green leaves sprouted forth in the pot.

	'They are Molly and me,' said the boy. 'How wonderful they are, and so beautiful!'

	Very soon a third leaf made its appearance.",the old bachelors nightcap_segment_9.txt," Little Anthony kept the flower-pot, and every morning during the whole winter he looked at it, but there was nothing to be seen but black earth . At last, however, the spring came, and the sun shone warm again,"
"

	One day the chief of the guards entered his cell, accompanied by a soldier. He squinted at the spittle with which the ground was spattered, and said rudely:",the seven that were hanged_segment_83.txt," The chief of the guards entered his cell, accompanied by a soldier . He squinted at the spittle with which the ground was spattered, and said rudely:"
"One bright day in late autumn a family of Ants were bustling about in the warm sunshine, drying out the grain they had stored up during the summer, when a starving Grasshopper, his fiddle under his arm, came up and humbly begged for a bite to eat.

	'What!' cried the Ants in surprise, 'haven't you stored anything away for the winter? What in the world were you doing all last summer?'",the ant and the grasshopper_segment_0.txt," A starving Grasshopper, his fiddle under his arm, came up and humbly begged for a bite to eat . 'What!' cried the Ants in surprise, 'haven't you stored anything away for the winter?'"
"Rosy was a nice little girl who lived with her mother in a small house in the woods. They were very poor, for the father had gone away to dig gold, and did not come back; so they had to work hard to get food to eat and clothes to wear. The mother spun yarn when she was able, for she was often sick, and Rosy did all she could to help. She milked the red cow and fed the hens; dug the garden, and went to town to sell the yarn and the eggs.",rosys journey_segment_0.txt," Rosy was a nice little girl who lived with her mother in a small house in the woods . They were very poor, for the father had gone away to dig gold, and did not come back . The mother spun yarn when she"
"

	               Add  The Flying Trunk to your library.     ",the flying trunk_segment_25.txt, Add  The Flying Trunk to your library's library.    Add a new collection of books to your collection .
"

	But the next moment the picture was entirely changed. Crouching like a panther preparing to spring, Sashka surveyed the surrounding company, on the look-out for some one who should dare wrest his little angel from him.",the little angel_segment_47.txt," Crouching like a panther preparing to spring, Sashka surveyed the surrounding company, on the look-out for some one who should dare wrest his little angel from him ."
"

	Of what else was Musya thinking? Of many things, since for her the thread of life was not severed by death but continued to unroll in a calm and regular fashion. She was thinking of her comrades, of those who at a distance were filled with anguish at the idea of her approaching execution, of those who nearer at hand would go with her to the gallows. She was astonished that Vasily should be a prey to terror, he who had always been brave. On Tuesday morning, when they had prepared themselves to kill, and then to die themselves, Tanya Kovalchuk had trembled with emotion; they had been obliged to send her away, whereas Vasily joked and laughed and moved about amid the bombs with so little caution that Werner had said to him severely:",the seven that were hanged_segment_145.txt," Musya was astonished that Vasily should be a prey to terror, he who had always been brave . Musya thought of her comrades, those who at a distance were filled with anguish at the idea of her approaching execution ."
"

	I smiled at the idea, but Guy did not see it; and seized with a whim to try my skill with the hawk that seemed inclined to peck at its master, I said demurely,â

	âWell, why not? I might be very happy if I learned to love him, as I should, if he were always in that kindest mood of his. Would you like me for a little mamma, Guy?â",a whisper in the dark_segment_46.txt," I might be very happy if I learned to love him, as I should, if he were always in that kindest mood of his . I smiled at the idea, but Guy did not see it; and seized with a whim to"
"

	When she was a young girl Henry Carpenter made life almost unbearable for his daughter, but as she emerged from girlhood into womanhood he lost his power over her. The bookkeeper's life was made up of innumerable little pettinesses. When he went to the bank in the morning he stepped into a closet and put on a black alpaca coat that had become shabby with age. At night when he returned to his home he donned another black alpaca coat. Every evening he pressed the clothes worn in the streets. He had invented an arrangement of boards for the purpose. The trousers to his street suit were placed between the boards and the boards were clamped together with heavy screws. In the morning he wiped the boards with a damp cloth and stood them upright behind the dining room door. If they were moved during the day he was speechless with anger and did not recover his equilibrium for a week.",an awakening_segment_1.txt," Henry Carpenter made life almost unbearable for his daughter, but as she emerged from girlhood into womanhood he lost his power over her . The bookkeeper's life was made up of innumerable little pettinesses ."
"

	'How now!' cried Jupiter 'Are you not yet content? You have what you asked for and so you have only yourselves to blame for your misfortunes.'

	Be sure you can better your condition before you seek to change.

	               Add  The Frogs Who Wished For A King to your library.     ",the frogs who wished for a king_segment_3.txt, Jupiter: 'Are you not yet content? You have what you asked for and so you have only yourselves to blame for your misfortunes'
"

	Both his father, Henri Bac II., and his shrewd mother, Antoinette, had been agreed upon giving their studious ascetic little son a true American's chance to rise in the world, and, acting on the advice of their chief patron and the leader of the French colony, M. Cesar Dupont, who offered his escort, had sent the boy to the College Louis le Grand. They never saw their only child again; but although Louis had been reticent of speech, he proved a very prodigal with his pen. As the years passed it became evident--the entire French colony read these letters--that his goal was belles-lettres and that he was practising on his family. Finally, after many mutations his style became so formal and precise that M. Dupont became alarmed and, during his next visit to Paris, invited the young man to breakfast.",the sacrificial alter_segment_1.txt," Henri Bac II., was sent to the College Louis le Grand in Paris . His parents never saw their only child again . He proved a very prodigal with his pen . The entire French colony read his letters ."
"

	He found the tinder-box, but no sooner had he struck a few sparks from the flint and steel, than the door flew open and the dog with eyes as big as teacups, whom he had seen while down in the tree, stood before him, and said, What orders, master?",the tinder box_segment_17.txt," He found the tinder-box, but no sooner had he struck a few sparks from the flint and steel, the door flew open and the dog with eyes as big as teacups, stood before him ."
"

	Weigall did not believe for a moment that Wyatt Gifford was dead, and although it was impossible not to be affected by the general uneasiness, he was disposed to be more angry than frightened. At Cambridge Gifford had been an incorrigible practical joker, and by no means had outgrown the habit; it would be like him to cut across the country in his evening clothes, board a cattle-train, and amuse himself touching up the picture of the sensation in West Riding.",the striding place_segment_4.txt, Weigall did not believe for a moment that Wyatt Gifford was dead . He was disposed to be more angry than frightened . At Cambridge he had been an incorrigible practical joker .
"

	She ran on as fast as she could. There then came a whole regiment of snow-flakes, but they did not fall from above, and they were quite bright and shining from the Aurora Borealis. The flakes ran along the ground, and the nearer they came the larger they grew. Gerda well remembered how large and strange the snow-flakes appeared when she once saw them through a magnifying-glass; but now they were large and terrific in another manner--they were all alive. They were the outposts of the Snow Queen. They had the most wondrous shapes; some looked like large ugly porcupines; others like snakes knotted together, with their heads sticking out; and others, again, like small fat bears, with the hair standing on end: all were of dazzling whiteness--all were living snow-flakes.",the snow queen_segment_115.txt, Gerda remembers how large and strange the snow-flakes appeared when she once saw them through a magnifying-glass . But now they were large and terrific in another manner--they were all alive . They were the outposts of
"

	'She might do worse; but come to breakfast and do honor to my handiwork,' said Sophie, thinking of her worn-out millionnaire, and rather nettled by the satiric smile on Randal's lips.

	'What an appetite early rising gives one. I feel equal to almost anything, so let me help wash cups,' said Emily, with unusual energy, when the hearty meal was over and Sophie began to pick up the dishes as if it was her usual work.",a country christmas_segment_84.txt, Sophie helped wash up the dishes when the meal was over and began picking up the plates .
"

	But soon all this was forgotten, for the wonderful festival had begun in all its glory, mystery and grandeur. The guests came fast, and there was no longer any place at the white table, which had been deserted but a while before. Voices resounded, and laughter and merry jests, and the music began to play. And on the deserted paths of the garden where but a while ago Yura had wandered alone, imagining himself a prince in quest of the sleeping princess, now appeared people with cigarettes and with loud free speech. Yura met the first guests at the front entrance; he looked at each one carefully, and he made the acquaintance and even the friendship of some of them on the way from the corridor to the table.",the crushed flower_segment_31.txt," The festival had begun in all its glory, mystery and grandeur . Voices resounded, laughter and merry jests, and the music began to play ."
"

	'But how did the little fellow get his feet wet?' asked he....

	'Yes, if I could think of a new one to tell,' said the old man. 'But how did the little fellow get his feet wet?' asked he.",elder tree mother_segment_1.txt," 'But how did the little fellow get his feet wet?' asked he . 'Yes, if I could think of a new one to tell,' said the old man ."
"

	'Now I am your guest and you will not ill-treat me, Lazarus!' said the Roman. 'Hospitality is binding even upon those who have been three days dead. Three days, I am told, you were in the grave. It must have been cold there... and it is from there that you have brought this bad habit of doing without light and wine. I like a light. It gets dark so quickly here. Your eyebrows and forehead have an interesting line: even as the ruins of castles covered with the ashes of an earthquake. But why in such strange, ugly clothes? I have seen the bridegrooms of your country, they wear clothes like that--such ridiculous clothes--such awful garments... Are you a bridegroom?'",lazarus_segment_35.txt, Lazarus: 'Hospitality is binding even upon those who have been three days dead. It must have been cold there... and it is from there that you have brought this bad habit of doing without light and wine. I like a
"

	'Don't you dare insult him! Don't you dare insult him!'

	O Lord, what has happened! Some one laughed; some one shouted. Father caught Yura in his arms, pressed him closely, causing him pain, and cried:",the crushed flower_segment_47.txt," Father caught Yura in his arms, pressed him closely, causing him pain, and cried: 'Don't you dare insult him!'"
"

	'But what was the 'something more', of which you spoke?' asked the Mouse King.

	'Why,' the little Mouse answered, 'I think it is what they call effect!' and herewith she turned the staff round, and lo! there was not a single flower to be seen upon it; she only held the naked skewer, and lifted this up like a music baton. ''Violets,' the elf said to me, 'are for sight, and smell, and touch. Therefore it yet remains to provide for hearing and taste!''",soup on a sausage peg_segment_17.txt," The elf held the naked skewer, and lifted this up like a music baton . The Mouse King asked: 'What was the 'something more', of which you spoke?' 'I think it is what they call effect!'"
"

	Such were Anthony's thoughts as he stood under the tree, and during many a long night as he lay in his lonely chamber in the wooden house in Hauschen Street, Copenhagen, in the foreign land to which the rich merchant of Bremen, his employer, had sent him on condition that he should never marry. 'Marry! ha, ha!' and he laughed bitterly to himself at the thought.",the old bachelors nightcap_segment_24.txt," Anthony's employer had sent him on condition that he should never marry . 'Marry! ha, ha!' and he laughed bitterly to himself at the thought ."
